name,id,hp,number,images,types,nationalPokedexNumbers
Ampharos,dp3-1,130.0,1,"{'small': 'https://images.pokemontcg.io/dp3/1.png', 'large': 'https://images.pokemontcg.io/dp3/1_hires.png'}",['Lightning'],[181]
Aerodactyl,ex12-1,70.0,1,"{'small': 'https://images.pokemontcg.io/ex12/1.png', 'large': 'https://images.pokemontcg.io/ex12/1_hires.png'}",['Colorless'],[142]
Caterpie,mcd19-1,50.0,1,"{'small': 'https://images.pokemontcg.io/mcd19/1.png', 'large': 'https://images.pokemontcg.io/mcd19/1_hires.png'}",['Grass'],[10]
Azumarill,ex7-1,80.0,1,"{'small': 'https://images.pokemontcg.io/ex7/1.png', 'large': 'https://images.pokemontcg.io/ex7/1_hires.png'}",['Water'],[184]
Blastoise,pl1-2,130.0,2,"{'small': 'https://images.pokemontcg.io/pl1/2.png', 'large': 'https://images.pokemontcg.io/pl1/2_hires.png'}",['Water'],[9]
Altaria,ex3-2,80.0,2,"{'small': 'https://images.pokemontcg.io/ex3/2.png', 'large': 'https://images.pokemontcg.io/ex3/2_hires.png'}",['Colorless'],[334]
Weedle,sm9-2,40.0,2,"{'small': 'https://images.pokemontcg.io/sm9/2.png', 'large': 'https://images.pokemontcg.io/sm9/2_hires.png'}",['Grass'],[13]
Alolan Exeggutor,mcd19-2,160.0,2,"{'small': 'https://images.pokemontcg.io/mcd19/2.png', 'large': 'https://images.pokemontcg.io/mcd19/2_hires.png'}",['Grass'],[103]
Kakuna,xy5-2,80.0,2,"{'small': 'https://images.pokemontcg.io/xy5/2.png', 'large': 'https://images.pokemontcg.io/xy5/2_hires.png'}",['Grass'],[14]
Mew,si1-1,30.0,1,"{'small': 'https://images.pokemontcg.io/si1/1.png', 'large': 'https://images.pokemontcg.io/si1/1_hires.png'}",['Psychic'],[151]
Caterpie,sm3-1,50.0,1,"{'small': 'https://images.pokemontcg.io/sm3/1.png', 'large': 'https://images.pokemontcg.io/sm3/1_hires.png'}",['Grass'],[10]
Ampharos,pop7-1,130.0,1,"{'small': 'https://images.pokemontcg.io/pop7/1.png', 'large': 'https://images.pokemontcg.io/pop7/1_hires.png'}",['Lightning'],[181]
Snivy,bw1-2,60.0,2,"{'small': 'https://images.pokemontcg.io/bw1/2.png', 'large': 'https://images.pokemontcg.io/bw1/2_hires.png'}",['Grass'],[495]
Chansey,base4-3,120.0,3,"{'small': 'https://images.pokemontcg.io/base4/3.png', 'large': 'https://images.pokemontcg.io/base4/3_hires.png'}",['Colorless'],[113]
Celebi,hgss4-3,70.0,3,"{'small': 'https://images.pokemontcg.io/hgss4/3.png', 'large': 'https://images.pokemontcg.io/hgss4/3_hires.png'}",['Psychic'],[251]
Dark Crobat,ex7-3,90.0,3,"{'small': 'https://images.pokemontcg.io/ex7/3.png', 'large': 'https://images.pokemontcg.io/ex7/3_hires.png'}","['Grass', 'Darkness']",[169]
